State,District,Market,Commodity,Variety,Arrival_Date,Min_Price,Max_Price,Modal_Price
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-08-29,1200,1200,1200.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-08-31,1100,1100,1100.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-09-02,1300,1300,1300.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-09-08,1100,1100,1100.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-09-09,1200,1200,1200.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-09-10,1200,1200,1200.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-09-11,1200,1200,1200.0
Madhya Pradesh,Anupur,Anuppur,Onion,Other,2020-09-15,1200,1200,1200.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-01-01,2230,5160,4000.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-01-03,1100,5500,4500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-01-08,800,4500,3500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-01-10,1000,3500,2500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-01-14,1500,4010,3000.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-01-15,3400,3400,3400.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-01-18,1310,3960,2900.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-01-20,1010,3400,2500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-01-21,930,3520,2800.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-01-23,810,3500,2500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-01-28,1170,3510,2600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-01-29,820,2620,2000.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-02-04,960,2760,2100.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-02-06,700,2620,1800.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-02-07,800,2400,1800.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-02-12,500,1820,1300.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-02-18,600,1920,1100.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-02-19,810,2200,1200.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-02-24,500,2400,1200.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-02-26,1010,2300,1200.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-02-28,200,1710,1200.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-02-29,812,1245,1000.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-03-02,370,1860,1200.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-03-03,200,1690,1200.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-03-05,330,1350,1000.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-03-09,200,1340,1100.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-03-16,303,1550,1100.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-03-17,400,1440,1100.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-03-18,501,1425,1100.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-03-19,500,1400,1100.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-03-20,300,1200,900.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-03-21,300,1100,900.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-04-15,500,700,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-04-20,500,800,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-04-21,400,800,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-04-23,300,800,500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-04-24,300,650,500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-04-25,305,700,450.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-04-28,400,700,450.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-04-29,300,700,450.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-04-30,300,700,400.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-05,300,600,375.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-06,300,600,400.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-07,300,550,350.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-08,300,600,400.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-09,300,600,400.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-10,250,500,300.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-11,250,550,300.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-12,200,550,300.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-13,200,550,300.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-14,200,550,325.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-16,211,600,350.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-17,250,450,300.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-18,250,550,300.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-19,270,550,350.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-20,250,500,350.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-21,250,500,350.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-22,250,500,325.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-23,300,600,375.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-24,300,600,350.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-26,400,500,450.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-27,260,500,350.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-28,270,550,375.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-29,255,550,350.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-05-30,250,550,350.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-06,300,575,350.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-07,300,625,375.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-09,200,916,500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-10,180,1251,550.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-11,200,1200,500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-12,200,949,650.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-15,200,1200,650.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-16,200,900,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-17,200,891,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-18,200,1000,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-19,200,970,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-20,200,1000,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-22,200,897,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-23,200,890,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-25,200,930,650.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-26,200,951,650.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-29,200,1000,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-06-30,200,1000,650.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-03,200,1052,700.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-04,200,934,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-06,200,1000,750.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-07,200,951,700.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-08,200,1010,750.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-09,200,961,700.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-10,200,875,700.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-13,200,891,750.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-14,200,952,700.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-15,200,1021,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-17,200,1000,650.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-18,200,966,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-21,200,920,500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-22,200,936,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-23,200,887,500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-24,225,902,550.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-28,210,916,550.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-29,220,904,400.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-30,205,910,450.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-07-31,218,914,400.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-05,215,891,350.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-07,200,863,350.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-10,215,891,400.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-11,206,876,450.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-13,201,865,400.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-14,210,915,450.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-17,204,976,450.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-18,210,1035,500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-20,218,1452,750.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-21,200,1200,450.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-24,207,1201,500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-25,200,1218,500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-26,210,1334,500.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-27,208,1326,550.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-28,216,1445,550.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-08-31,200,1512,550.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-09-02,220,2500,600.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-09-08,200,2325,700.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-09-09,200,2410,750.0
Madhya Pradesh,Sehore,Ashta,Onion,Other,2020-09-15,500,2400,675.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-04,2000,2000,2000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-05,2000,2000,2000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-07,2000,3500,2500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-08,2000,2000,2000.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-09,2000,4000,3500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-10,1500,1500,1500.0
Madhya Pradesh,Dhar,Badnagar / Badnawar APMC,Onion,Onion,2020-01-13,1500,1500,1500.0
